user,text,favorite_count,retweet_count,created_at
elonmusk,@mtaibbi It is tragic how far The New York Times has fallen – basically just boring af far left brainwashing at this point. The boring part is truly unforgivable!,83075,12980,2022-11-20
elonmusk,World Cup starts soon! Follow on Twitter for best coverage by far.,498607,32506,2022-11-20
elonmusk,@WholeMarsBlog 🤣,34958,1105,2022-11-20
elonmusk,@TomFitton Sure as night follows day …,55115,4476,2022-11-20
elonmusk,@JGreenblattADL @ADL Hey stop defaming me!,352938,18287,2022-11-20
elonmusk,@naiivememe 🔥🔥,36338,1643,2022-11-20
elonmusk,Twitter is ALIVE,1453235,116201,2022-11-20
elonmusk,@EMTSLA @teslaownersSV @RaheemKassam @nypost Good idea,7455,249,2022-11-20
elonmusk,@teslaownersSV @RaheemKassam @nypost Their posts are super boring,15879,704,2022-11-20
elonmusk,@RaheemKassam @nypost They should bring Walter Cronkite back,18753,1253,2022-11-20
elonmusk,@nypost Oh forget it who cares,124479,6606,2022-11-20
elonmusk,@RenataKonkoly @nypost 🤣💯,27018,663,2022-11-20
elonmusk,@nypost Who made this decision?,320593,12712,2022-11-20
elonmusk,@BuzzPatterson 😉,125152,4603,2022-11-20
elonmusk,@KimDotcom Twitter engineering is working on it,62787,2938,2022-11-20
elonmusk,@sriramk Server load is insane rn. Good stress test before World Cup tomorrow!,109857,6329,2022-11-20
elonmusk,@DavidSacks Well-said,56957,2253,2022-11-20
elonmusk,@LefterisJP Lmaooo,42891,1596,2022-11-20
elonmusk,@TrungTPhan 🤣🤣,77573,2409,2022-11-20
elonmusk,"The people have spoken. 

Trump will be reinstated.

Vox Populi, Vox Dei. https://t.co/jmkhFuyfkv",965202,129554,2022-11-20
elonmusk,@TheBabylonBee 🤣 but actually,41917,1684,2022-11-20
elonmusk,@MomAngtrades 🤣,112081,4347,2022-11-20
elonmusk,134M people have seen this poll,272844,13375,2022-11-19
elonmusk,@TrungTPhan Red Bull does work tbh,79785,3003,2022-11-19
elonmusk,@BillyM2k @lexfridman Definitely need to improve Twitter’s dopamine/cortisol ratio!,14093,768,2022-11-19
elonmusk,@BillyM2k @waitbutwhy I agree,6203,246,2022-11-19
elonmusk,@micsolana 🤣🤣,7809,278,2022-11-19
elonmusk,The most entertaining outcome is the most likely – my variant on Occam’s Razor,174792,10762,2022-11-19
elonmusk,@alexxubyte Twitter search will add feedback loops to improve result rank based on which result you click on &amp; whether you immediately click back (implies wrong result),6546,396,2022-11-19
elonmusk,"@alexxubyte Notes from last night:
- Maybe deprecate TLS this week, as only needed if Android app &gt;1 year old.
- Home mixer computes Home  ~10X faster than Timeline.
- Ad mixer can greatly improve relevance at cost of lower total ad views. More interesting the ad, more time you look at it.",25462,1495,2022-11-19
elonmusk,@ErrolWebber Most accurate would be to require access to phone GPS for location-specific polls,10037,539,2022-11-19
elonmusk,@ErrolWebber Yes,6600,287,2022-11-19
elonmusk,Fascinating to watch Twitter Trump poll!,460213,24586,2022-11-19
elonmusk,@Nomad_1x Bot &amp; troll armies might be running out of steam soon. Some interesting lessons to clean up future polls.,38419,3943,2022-11-19
elonmusk,@DavidSacks Good question,28495,1486,2022-11-19
elonmusk,@WholeMarsBlog Most amount of people I’ve ever seen in the building by far,214300,8619,2022-11-19
elonmusk,@micsolana 🤣🤣,6348,222,2022-11-19
elonmusk,@Jason @DavidSacks @Zappos That was certainly my intention too!,5655,201,2022-11-19
elonmusk,Tesla FSD 10.69.3.1 going to wide release now,121274,6943,2022-11-19
elonmusk,Just leaving Twitter HQ code review https://t.co/pYcXRTJm14,465675,37212,2022-11-19
elonmusk,@Nomad_1x The bot attack is impressive to watch!,60104,4294,2022-11-19
elonmusk,Trump poll getting ~1M votes/hour!,621531,38281,2022-11-19
elonmusk,@micsolana Can’t tell if this is parody or real,9993,348,2022-11-19
elonmusk,"@jack @Lucididy @jordanbpeterson Verification through the payment system plus phones, but allowing pseudonyms is the least bad solution I can think of",14416,815,2022-11-19
elonmusk,"@saylor When polls are about a significant question, even those who don’t follow me tend to hear about it. That said, I agree with the idea of an all-user poll. Should also be an all-user by country poll.",233750,9117,2022-11-19
elonmusk,@lexfridman Agreed,30898,710,2022-11-19
elonmusk,"Vox Populi, Vox Dei",318923,23141,2022-11-19
elonmusk,Reinstate former President Trump,840038,233594,2022-11-19
elonmusk,@thevivafrei @paraga @jack Too bad,60121,1843,2022-11-19
elonmusk,@S3XYstarship @slashdot DoJ Antitrust @JusticeATR,4525,309,2022-11-19
elonmusk,"@slashdot App store fees are obviously too high due to the iOS/Android duopoly. 

It is a hidden 30% tax on the Internet.",52961,4677,2022-11-19
elonmusk,@Tesmanian_com Kind of him to say. I look forward to meeting.,52278,2316,2022-11-19
elonmusk,@TrungTPhan 🤣,6718,206,2022-11-18
elonmusk,First World Cup match on Sunday! Watch on Twitter for best coverage &amp; real-time commentary.,622522,55604,2022-11-18
elonmusk,@BillyM2k Exactly,32181,1735,2022-11-18
elonmusk,@Benioff Thanks Marc ❤️,62623,2024,2022-11-18
elonmusk,@HardcoreNolley No,71035,1647,2022-11-18
elonmusk,"Note, this applies just to the individual tweet, not the whole account",135144,7670,2022-11-18
elonmusk,@TheBabylonBee If only there had been a way … 🤣🤣,49546,3197,2022-11-18
elonmusk,"Kathie Griffin, Jorden Peterson &amp; Babylon Bee have been reinstated.

Trump decision has not yet been made.",271942,21126,2022-11-18
elonmusk,"New Twitter policy is freedom of speech, but not freedom of reach.

Negative/hate tweets will be max deboosted &amp; demonetized, so no ads or other revenue to Twitter. 

You won’t find the tweet unless you specifically seek it out, which is no different from rest of Internet.",417766,42979,2022-11-18
elonmusk,Freedom Fridays …,387543,24655,2022-11-18
elonmusk,@BillyM2k Jazz hands 🤗,31832,1225,2022-11-18
elonmusk,What should Twitter do next?,520115,32713,2022-11-18
elonmusk,@Yemen_770 🤣,2490,111,2022-11-18
elonmusk,@micsolana You don’t say …,41872,2321,2022-11-18
elonmusk,@SamTwits Of course not ❤️,49559,1456,2022-11-18
elonmusk,@DrKrusher 🥱,38454,1006,2022-11-18
elonmusk,@MikeDulaimi I stand corrected!,20807,506,2022-11-18
elonmusk,https://t.co/OjhQJvruTy,794218,100948,2022-11-18
elonmusk,@lionxmah @folha ?,3040,133,2022-11-18
elonmusk,@AOC You’re welcome,549753,21947,2022-11-18
elonmusk,"@WholeMarsBlog Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",55345,5481,2022-11-18
elonmusk,@piersmorgan Seriously,133241,4641,2022-11-18
elonmusk,https://t.co/JU073T756X,345345,23898,2022-11-18
elonmusk,https://t.co/rbwbsLA1ZG,2142454,236531,2022-11-18
elonmusk,🏴‍☠️,545748,35175,2022-11-18
elonmusk,@ashleevance 🤣,8793,281,2022-11-18
elonmusk,Let that sink in …,232036,9365,2022-11-18
elonmusk,And … we just hit another all-time high in Twitter usage lol,726505,47565,2022-11-18
elonmusk,"@stoolpresidente The best people are staying, so I’m not super worried",197367,12896,2022-11-18
elonmusk,"@bgurley @MichaelGuimarin Don’t wanna jinx it, but there’s a chance we can keep Twitter alive … https://t.co/mk3aCq0dEB",13640,1234,2022-11-18
elonmusk,@anothercohen Thanks for helping out. You’re a lifesaver!,139099,4742,2022-11-18
elonmusk,@MichaelGuimarin Thanks!,16777,432,2022-11-18
elonmusk,"How do you make a small fortune in social media?

Start out with a large one.",462213,26795,2022-11-18
elonmusk,@growing_daniel @micsolana 🤣,36152,1455,2022-11-17
elonmusk,"@EvaFoxU The media constantly writing about Twitter is driving usage to all-time highs, so it’s fine by me!",108712,7663,2022-11-17
elonmusk,@MinimalDuck @Tesla Cybertruck is something special that comes along once in a long while,46104,2303,2022-11-17
